Curriculum,EEEL - Electrical Engineering (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,14.0101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,MAT 021B Calculus,MAT,021B,3,"","",4,,,2,-0.5188492555831266,-0.4977698511166253,3224,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
2,MAT 021C Calculus,MAT,021C,1,"","",4,,,3,-0.6115875299760192,-0.5438177458033573,2085,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
3,MAT 021A Calculus,MAT,021A,"","","",4,,,1,-0.3247931338028169,-0.3174163732394366,2272,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
4,MAT 021D Vector Analysis,MAT,021D,2,"","",4,,,4,-0.38784214945424017,-0.29442485306465155,1191,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NG"", ""NP*"", ""P*"", ""RW"", ""Y""]"
5,MAT 022A Linear Algebra,MAT,022A,13;2,"","",3,,,5,-0.3027013963480129,-0.2573576799140709,1862,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
6,MAT 022AL Linear Algebra Comp Lab,MAT,022AL,2,"","",1,,,4,,,1394,202203,200010,"["""", ""NC"", ""NP"", ""P""]"
7,MAT 022B Differential Equations,MAT,022B,5,"","",3,,,6,-0.28325074331020816,-0.2958572844400396,1009,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
8,PHY 009A Classical Physics,PHY,009A,1,"","",5,,,3,-0.5993810786914235,-0.4216976127320955,1131,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
9,PHY 009B Classical Physics,PHY,009B,8;2,4,"",5,,,4,-0.45986,-0.29641,1000,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*""]"
10,PHY 009C Classical Physics,PHY,009C,9;4;5,"","",5,,,5,-0.4163980099502488,-0.4140099502487562,1005,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""Y""]"
11,PHY 009D Modern Physics,PHY,009D,10;5,"","",4,,,6,-0.00898876404494383,-0.03078651685393258,267,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
12,CHE 002A General Chemistry,CHE,002A,"","","",5,,,2,-0.5722310756972112,-0.5436972111553785,5020,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""C"", ""P*"", ""B-"", ""NC"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""B+"", ""A""]"
13,ENG 006 Engineering Prob Solving,ENG,006,3,1,"",4,,,3,0.05725576289791438,0.2064763995609221,911,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
